id,data,hora,selecao_a,selecao_b,grupo,estadio,cidade,status,placar_a,placar_b,rodada
1,2026-06-11,13:00,USA,Morocco,A,MetLife Stadium,East Rutherford,finalizado,2,1,1
2,2026-06-11,16:00,Japan,Uruguay,A,Rose Bowl,Los Angeles,finalizado,1,1,1
3,2026-06-11,19:00,Mexico,Serbia,B,Estadio Azteca,Cidade do México,finalizado,1,0,1
4,2026-06-11,22:00,Colombia,Ivory Coast,B,Hard Rock Stadium,Miami,finalizado,2,1,1
5,2026-06-12,12:00,Canada,Cameroon,C,BC Place,Vancouver,finalizado,1,1,1
6,2026-06-12,15:00,Netherlands,South Korea,C,Lumen Field,Seattle,finalizado,2,0,1
7,2026-06-12,18:00,Brazil,Saudi Arabia,D,MetLife Stadium,East Rutherford,finalizado,3,1,1
8,2026-06-12,21:00,Switzerland,Nigeria,D,AT&T Stadium,Arlington,finalizado,1,1,1
9,2026-06-13,13:00,France,South Africa,E,Rose Bowl,Los Angeles,finalizado,2,0,1
10,2026-06-13,16:00,Ecuador,Turkey,E,Lincoln Financial Field,Filadélfia,finalizado,1,2,1
11,2026-06-13,19:00,Argentina,Ghana,F,Hard Rock Stadium,Miami,finalizado,2,0,1
12,2026-06-13,22:00,Poland,Iran,F,Arrowhead Stadium,Kansas City,finalizado,1,0,1
13,2026-06-14,12:00,Spain,Iraq,G,Rose Bowl,Los Angeles,finalizado,3,1,1
14,2026-06-14,15:00,Senegal,Scotland,G,Gillette Stadium,Boston,finalizado,0,0,1
15,2026-06-14,18:00,England,Venezuela,H,MetLife Stadium,East Rutherford,finalizado,1,0,1
16,2026-06-14,21:00,Egypt,Hungary,H,BMO Field,Toronto,finalizado,2,2,1
17,2026-06-14,13:00,Germany,Algeria,I,AT&T Stadium,Arlington,finalizado,2,0,1
18,2026-06-14,16:00,Panama,Australia,I,SoFi Stadium,Los Angeles,finalizado,0,1,1
19,2026-06-14,19:00,Portugal,Bolivia,J,Lincoln Financial Field,Filadélfia,finalizado,3,0,1
20,2026-06-14,22:00,Romania,Uzbekistan,J,Estadio BBVA,Monterrey,finalizado,1,1,1
21,2026-06-14,12:00,Belgium,Costa Rica,K,Estadio Akron,Guadalajara,finalizado,2,0,1
22,2026-06-14,15:00,Tunisia,Denmark,K,Arrowhead Stadium,Kansas City,finalizado,0,3,1
23,2026-06-14,18:00,Croatia,New Zealand,L,BC Place,Vancouver,finalizado,4,0,1
24,2026-06-14,21:00,Honduras,Slovakia,L,BMO Field,Toronto,finalizado,0,2,1
25,2026-06-15,13:00,USA,Japan,A,Rose Bowl,Los Angeles,agendado,,, 2
26,2026-06-15,13:00,Morocco,Uruguay,A,MetLife Stadium,East Rutherford,agendado,,,2
27,2026-06-15,16:00,Mexico,Colombia,B,Estadio Azteca,Cidade do México,agendado,,,2
28,2026-06-15,16:00,Serbia,Ivory Coast,B,Hard Rock Stadium,Miami,agendado,,,2
29,2026-06-16,13:00,Canada,South Korea,C,BC Place,Vancouver,agendado,,,2
30,2026-06-16,13:00,Netherlands,Cameroon,C,Lumen Field,Seattle,agendado,,,2
31,2026-06-16,16:00,Brazil,Nigeria,D,MetLife Stadium,East Rutherford,agendado,,,2
32,2026-06-16,16:00,Switzerland,Saudi Arabia,D,AT&T Stadium,Arlington,agendado,,,2
33,2026-06-17,13:00,France,Ecuador,E,Rose Bowl,Los Angeles,agendado,,,2
34,2026-06-17,13:00,Turkey,South Africa,E,Lincoln Financial Field,Filadélfia,agendado,,,2
35,2026-06-17,16:00,Argentina,Poland,F,Hard Rock Stadium,Miami,agendado,,,2
36,2026-06-17,16:00,Ghana,Iran,F,Arrowhead Stadium,Kansas City,agendado,,,2
37,2026-06-18,13:00,Spain,Senegal,G,Rose Bowl,Los Angeles,agendado,,,2
38,2026-06-18,13:00,Scotland,Iraq,G,Gillette Stadium,Boston,agendado,,,2
39,2026-06-18,16:00,England,Egypt,H,MetLife Stadium,East Rutherford,agendado,,,2
40,2026-06-18,16:00,Venezuela,Hungary,H,BMO Field,Toronto,agendado,,,2
41,2026-06-20,13:00,USA,Uruguay,A,MetLife Stadium,East Rutherford,agendado,,,3
42,2026-06-20,13:00,Japan,Morocco,A,Rose Bowl,Los Angeles,agendado,,,3
43,2026-06-20,16:00,Brazil,Switzerland,D,AT&T Stadium,Arlington,agendado,,,3
44,2026-06-20,16:00,Nigeria,Saudi Arabia,D,Lincoln Financial Field,Filadélfia,agendado,,,3
